tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
777,22:26.7,35:24.5,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,453,W 22 St & 8 Ave,40.74475148,-73.99915362,35350,Customer,1996,1
242,22:33.1,26:36.0,307,Canal St & Rutgers St,40.71427487,-73.98990025,308,St James Pl & Oliver St,40.71307916,-73.99851193,35336,Subscriber,1999,2
280,22:47.3,27:27.5,393,E 5 St & Avenue C,40.72299208,-73.97995466,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,40268,Subscriber,1975,1
255,23:19.2,27:34.7,3537,Carlton Ave & Dean St,40.6809741,-73.9710097,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,39588,Subscriber,1989,0
716,23:23.3,35:20.0,328,Watts St & Greenwich St,40.72405549,-74.00965965,360,William St & Pine St,40.70717936,-74.00887308,15195,Subscriber,1990,1
1404,23:46.4,47:11.0,237,E 11 St & 2 Ave,40.73047309,-73.98672378,127,Barrow St & Hudson St,40.73172428,-74.00674436,40877,Subscriber,1973,1
791,23:47.3,36:58.6,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,3739,Perry St & Greenwich Ave,40.735918,-74.000939,41040,Subscriber,1978,1
384,24:14.2,30:38.8,531,Forsyth St & Broome St,40.71893904,-73.99266288,293,Lafayette St & E 8 St,40.73020661,-73.99102628,41204,Subscriber,1982,1
633,24:37.2,35:10.3,519,Pershing Square North,40.751873,-73.977706,450,W 49 St & 8 Ave,40.76227205,-73.98788205,40965,Subscriber,1963,1
463,24:52.8,32:36.6,330,Reade St & Broadway,40.71450451,-74.00562789,311,Norfolk St & Broome St,40.7172274,-73.98802084,27788,Subscriber,1999,1
454,25:07.0,32:41.9,330,Reade St & Broadway,40.71450451,-74.00562789,311,Norfolk St & Broome St,40.7172274,-73.98802084,34083,Subscriber,1968,1
815,25:11.9,38:47.4,483,E 12 St & 3 Ave,40.73223272,-73.98889957,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,29413,Subscriber,1998,2
613,25:13.3,35:26.4,223,W 13 St & 7 Ave,40.73781509,-73.99994661,394,E 9 St & Avenue C,40.72521311,-73.97768752,34005,Subscriber,1982,1
371,25:28.8,31:40.3,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3078,Broadway & Roebling St,40.70924826,-73.96063149,42023,Subscriber,1988,2
584,25:34.5,35:19.2,3255,8 Ave & W 31 St,40.75058535,-73.99468482,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,39760,Subscriber,1964,1
481,25:38.4,33:39.9,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,36030,Subscriber,1984,1
328,25:38.5,31:06.9,3866,Wilson Ave & Moffat St,40.68906,-73.90506,3872,Hancock St & Wyckoff Ave,40.6972,-73.90674,27416,Customer,1994,0
313,25:45.3,30:58.9,497,E 17 St & Broadway,40.73704984,-73.99009296,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,21089,Subscriber,1992,1
87,25:46.4,27:14.2,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,27666,Subscriber,1971,2
439,25:47.0,33:06.8,410,Suffolk St & Stanton St,40.72066442,-73.98517977,3711,E 13 St & Avenue A,40.72966729,-73.98067966,18051,Subscriber,1996,2
1608,25:50.0,52:38.7,3799,6 Ave & W 34 St,40.74964,-73.98805,376,John St & William St,40.70862144,-74.00722156,34058,Subscriber,1994,2
460,26:10.8,33:51.5,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,446,W 24 St & 7 Ave,40.74487634,-73.99529885,29976,Subscriber,1990,1
1067,26:32.1,44:19.6,523,W 38 St & 8 Ave,40.75466591,-73.99138152,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,36937,Customer,1999,1
1118,26:38.8,45:17.2,504,1 Ave & E 16 St,40.73221853,-73.98165557,237,E 11 St & 2 Ave,40.73047309,-73.98672378,36273,Subscriber,1993,1
604,26:45.7,36:50.3,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3117,Franklin St & Dupont St,40.73564,-73.95866,35293,Subscriber,1977,1
548,26:45.8,35:54.5,465,Broadway & W 41 St,40.75513557,-73.98658032,164,E 47 St & 2 Ave,40.75323098,-73.97032517,41365,Subscriber,1980,1
589,26:46.8,36:36.0,3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,3390,E 109 St & 3 Ave,40.79329668,-73.9432083,41546,Customer,1994,1
249,26:59.9,31:09.6,468,Broadway & W 56 St,40.7652654,-73.98192338,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,41128,Customer,1969,0
264,27:03.7,31:28.6,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,41785,Subscriber,1975,1
196,27:12.1,30:28.7,453,W 22 St & 8 Ave,40.74475148,-73.99915362,3255,8 Ave & W 31 St,40.75058535,-73.99468482,40704,Subscriber,1969,1
189,27:32.8,30:42.5,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,33131,Customer,1994,1
213,27:37.5,31:11.3,3332,Degraw St & Hoyt St,40.68199044,-73.99079025,3315,Henry St & Degraw St,40.6847514,-73.99917254,39950,Subscriber,1991,1
461,27:57.9,35:39.4,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,3244,University Pl & E 8 St,40.73143724,-73.99490342,37303,Subscriber,1986,1
298,28:04.6,33:03.4,3737,Stanton St & Norfolk St,40.720747,-73.986274,394,E 9 St & Avenue C,40.72521311,-73.97768752,39894,Subscriber,1996,2
280,28:16.5,32:56.7,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,289,Monroe St & Classon Ave,40.6845683,-73.95881081,39530,Subscriber,1938,2
170,28:31.7,31:22.0,3318,2 Ave & E 96 St,40.7839636,-73.9471673,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,39928,Subscriber,1987,1
426,28:35.7,35:42.2,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,3244,University Pl & E 8 St,40.73143724,-73.99490342,36100,Subscriber,1985,1
574,28:54.1,38:28.8,3150,E 85 St & York Ave,40.77536905,-73.94803392,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,35367,Subscriber,1996,1
213,28:59.9,32:33.4,3592,Crescent St & Broadway,40.7633589,-73.9286471,3589,Broadway & 12 St,40.7668,-73.9347774,40503,Subscriber,1999,1
153,29:09.0,31:42.7,3314,W 95 St & Broadway,40.7937704,-73.971888,3350,W 100 St & Broadway,40.7973721,-73.97041192,35332,Subscriber,1990,1
251,29:32.5,33:44.0,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,238,Bank St & Washington St,40.7361967,-74.00859207,39247,Subscriber,1987,1
736,29:34.3,41:50.6,331,Pike St & Monroe St,40.71173107,-73.99193043,418,Front St & Gold St,40.70224,-73.982578,41412,Subscriber,1988,1
573,29:35.9,39:09.2,3812,University Pl & E 14 St,40.734814,-73.992085,494,W 26 St & 8 Ave,40.74734825,-73.99723551,39912,Subscriber,1995,1
279,29:44.3,34:23.4,3469,India St & West St,40.73181402,-73.95995021,3105,N 15 St & Wythe Ave,40.724055,-73.955736,16631,Subscriber,1991,1
2149,29:55.2,05:44.3,465,Broadway & W 41 St,40.75513557,-73.98658032,3647,48 Ave & 30 Pl,40.74128309,-73.93725872,31937,Subscriber,1996,1
2171,30:14.5,06:26.2,3348,Coffey St & Conover St,40.677236,-74.015665,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,40214,Subscriber,1986,1
632,30:15.8,40:48.5,3096,Union Ave & N 12 St,40.71924,-73.95242,3765,Bushwick Ave & Stagg St,40.709897,-73.94008,16596,Customer,1996,1
290,30:19.4,35:10.2,507,E 25 St & 2 Ave,40.73912601,-73.97973776,504,1 Ave & E 16 St,40.73221853,-73.98165557,26353,Customer,1985,1
339,30:46.7,36:25.7,3494,E 115 St & Lexington Ave,40.797911,-73.9423,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,33040,Subscriber,1994,1
332,30:49.3,36:22.0,3288,E 88 St & 1 Ave,40.778301,-73.9488134,3369,E 82 St & East End Ave,40.7724607,-73.9468208,18054,Subscriber,1991,1
206,31:00.8,34:27.4,297,E 15 St & 3 Ave,40.734232,-73.986923,445,E 10 St & Avenue A,40.72740794,-73.98142006,38566,Subscriber,1985,1
280,31:41.8,36:22.0,3711,E 13 St & Avenue A,40.72966729,-73.98067966,302,Avenue D & E 3 St,40.72082834,-73.97793172,35750,Subscriber,1999,1
363,31:44.9,37:48.4,504,1 Ave & E 16 St,40.73221853,-73.98165557,476,E 31 St & 3 Ave,40.74394314,-73.97966069,37422,Subscriber,1986,1
1279,31:54.4,53:14.2,500,Broadway & W 51 St,40.76228826,-73.98336183,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,38862,Subscriber,1983,2
945,32:32.4,48:18.3,3139,E 72 St & Park Ave,40.77118288,-73.96409422,3168,Central Park West & W 85 St,40.78472675,-73.96961715,30425,Subscriber,1971,1
214,33:04.7,36:39.6,3517,31 St & Hoyt Ave N,40.7711528,-73.9170074,3515,24 Ave & 26 St,40.774591,-73.918544,39587,Subscriber,1988,1
343,33:04.8,38:48.2,415,Pearl St & Hanover Square,40.7047177,-74.00926027,376,John St & William St,40.70862144,-74.00722156,15989,Subscriber,1960,1
283,33:04.8,37:47.8,3711,E 13 St & Avenue A,40.72966729,-73.98067966,285,Broadway & E 14 St,40.73454567,-73.99074142,40883,Subscriber,1993,1
